Thu Jun 01 02:41:24 +0000 2023;1664099799053000700;1664099799053000705;Kalo kerja paling ke yg profesional.\nBikin macet panjang karena penutupan.\nTak pernah mau bekerja panas panasan (jam tidak terlalu sibuk dan jalan padat).\nTapi hasilnya, 2 hari rusak lagu rusak lagi. Bahkan lebih hancur dari sebelum diperbaiki.;0;0;0;0;;in;1882296571;1664099799053000700;1664099799053000705;;;fatur_cubis;1
Thu Jun 01 01:14:42 +0000 2023;1664077983462875100;1664077983462875136;Jalan Rusak di Putat Kidul, Butuh Perhatian DPUBM Kabupaten Malang https://t.co/zMkagyGISZ;0;0;1;0;;in;1422944280604151815;1664077983462875100;1664077983462875136;;;monitorind;0
Thu Jun 01 04:06:32 +0000 2023;1664121225332035600;1664121225332035584;@Indones1aku Cuma Monas doang kalien berdarah darah??? Bong cebong tuliat kesulitan masyarkat, jalan jalan rusak, harga harga pada naik, utang meroket, kebijakan menguntungkan oligarki, BUMN bangkrut, korupsi mendarah daging;0;0;0;0;;in;1577134582503292929;1663773254736298000;1663773254736297985;;;PramaditaRama;0
Thu Jun 01 02:06:23 +0000 2023;1664090987797545000;1664090987797544967;@CutSarina5 @ch_chotimah2 Karna jalan nya rusak dia naik helikopter, bisa wae si bokep uban otak selangkangan Miyabi ini😅😅😂;0;0;0;0;;in;376211804;1664084001609613300;1664084001609613313;;;andie_w7;0
Wed May 31 17:58:12 +0000 2023;1663968131080163300;1663968131080163328;Update. Kapolda Sulteng Irjen Pol Agus Nugroho mengatakan kasus di Parigi Moutong bukan pemerkosaan tapi persetubuhan anak di bawah umur, Kapolda juga meminta wartawan untuk tidak memberitakan dgn kata pemerkosaan karena perlakuan HR (Kades), ARH (guru SD), MPS (polisi), AK… https://t.co/2rVNhToVw7;1412;942;1058;2729;;in;1226038913707282433;1663968131080163300;1663968131080163328;https://pbs.twimg.com/ext_tw_video_thumb/1663967929686458368/pu/img/OxuhMHWD7rTlqJ7L.jpg;photo;mazzini_gsp;0
Thu Jun 01 03:16:48 +0000 2023;1664108707251372000;1664108707251372034;Jalan toll bikin menjerit jalan biasa banyak yg rusak berat, terus bangun infrastructure dgn hutang ribuan trilyun bisa dinikmati rakyat dimana ?;0;0;0;0;;in;1089314493480394752;1664108707251372000;1664108707251372034;;;djumelan;0
Thu Jun 01 02:32:29 +0000 2023;1664097554798370800;1664097554798370816;@jokowi Klo cuma nembel jalan yg rusak, saya akui bapak kalah dgn yg sebelum bapak.;0;0;0;0;;in;1451061500144021508;1664087762834964500;1664087762834964480;;;JohnTurah;0
Thu Jun 01 02:38:38 +0000 2023;1664099103859683300;1664099103859683328;@Tita83079013 Di daerah jalan rusak di bagusin, disini jalan bagus dirusakin, mengsle;0;0;0;1;;in;1442083200507936772;1664095808676061200;1664095808676061184;;;Ngadinopanser;0
Thu Jun 01 02:35:10 +0000 2023;1664098231511552000;1664098231511552001;@convomf Yg rusak cuma cctv lt 8 kan? Pdhl bisa track cctv lain yg ngarah ke jalan lt 8, apa kah benar korban ke sana atau gmna². Trus cek cctv yg ngarah ke lapangan apakah dia jatuh beneran atau gmna². Intinya cek semua cctv.;0;0;0;0;;in;317008471;1663917041139564500;1663917041139564545;;;xrnxrxn;0
Thu Jun 01 01:34:03 +0000 2023;1664082850814238700;1664082850814238720;@VIVAcoid Bukannya takut min paham Khan.dikonoha ngaduin jalan rusak aja intimidasi Sana sini..;0;0;0;0;;in;938326077117579264;1663897410219933700;1663897410219933696;;;Eddyk78K;0
Thu Jun 01 02:27:42 +0000 2023;1664096351725179000;1664096351725178880;@ganjarpranowo Tolong ini pak ganjar jalan alternatif dr kec kaliwiro menuju wadaslintang kab wonosobo rusak parah https://t.co/G6zPXjgsNo;0;2;0;0;;in;472031132;1664079078801174500;1664079078801174528;https://pbs.twimg.com/ext_tw_video_thumb/1664096126923063297/pu/img/4sjqtVUhTfnqeEzm.jpg;photo;alfinprasetyo77;1
Thu Jun 01 01:47:50 +0000 2023;1664086321663742000;1664086321663741952;@PKSejahtera Blunder banget ni Iklan 🤣 mksdnya gimana coba? Jalan rusak ada spanduk PKS, lah trs aleg2 PKS g berbuat apa2 untuk daerah tsb, cm nebeng masang baligo gitu?;0;0;0;0;;in;294071078;1664085606698217500;1664085606698217474;;;upihassan;0
Tue Mar 21 09:05:32 +0000 2023;1638104542792515600;1638104542792515586;No time to get ready for your meeting? Use xpression camera to be dressed for all occasions.;334;1526;1671;5602;;en;1000336253143863296;1638104542792515600;1638104542792515586;;;xpression_app;0
Tue May 30 16:50:58 +0000 2023;1663588823283171300;1663588823283171328;Tarif Tol Trans Sumatera Naik 67%, Pengusaha Menjerit https://t.co/S3PbPYrClD;22;70;242;413;;in;1492070271800414210;1663588823283171300;1663588823283171328;;;PutraErlangga95;0
Thu Jun 01 03:03:32 +0000 2023;1664105372054089700;1664105372054089728;itu rahim sampe rusak, sampe harus diangkat apa otak lu kagak jalan buat mikir kah;0;1;0;0;;in;1453334047896178691;1664105372054089700;1664105372054089728;;;sceneofsin;0
